Posição;Codigo_IBGE;Municipio;Unidade federativa;Estado;Populacao
1º;3550308;São Paulo; São Paulo;SP;12396372
2º;3304557;Rio de Janeiro; Rio de Janeiro;RJ;6775561
3º;5300108;Brasília; Distrito Federal;DF;3094325
4º;2927408;Salvador; Bahia;BA;2900319
5º;2304400;Fortaleza; Ceará;CE;2703391
6º;3106200;Belo Horizonte; Minas Gerais;MG;2530701
7º;1302603;Manaus; Amazonas;AM;2255903
8º;4106902;Curitiba; Paraná;PR;1963726
9º;2611606;Recife; Pernambuco;PE;1661017
10º;5208707;Goiânia; Goiás;GO;1555626
11º;1501402;Belém; Pará;PA;1506420
12º;4314902;Porto Alegre; Rio Grande do Sul;RS;1492530
13º;3518800;Guarulhos; São Paulo;SP;1404694
14º;3509502;Campinas; São Paulo;SP;1223237
15º;2111300;São Luís; Maranhão;MA;1115932
16º;3304904;São Gonçalo; Rio de Janeiro;RJ;1098357
17º;2704302;Maceió; Alagoas;AL;1031597
18º;3301702;Duque de Caxias; Rio de Janeiro;RJ;929449
19º;5002704;Campo Grande; Mato Grosso do Sul;MS;916001
20º;2408102;Natal; Rio Grande do Norte;RN;896708
21º;2211001;Teresina; Piauí;PI;871126
22º;3548708;São Bernardo do Campo; São Paulo;SP;849874
23º;2507507;João Pessoa; Paraíba;PB;825796
24º;3303500;Nova Iguaçu; Rio de Janeiro;RJ;825388
25º;3549904;São José dos Campos; São Paulo;SP;737310
26º;3547809;Santo André; São Paulo;SP;723889
27º;3543402;Ribeirão Preto; São Paulo;SP;720116
28º;2607901;Jaboatão dos Guararapes; Pernambuco;PE;711330
29º;3170206;Uberlândia; Minas Gerais;MG;706597
30º;3534401;Osasco; São Paulo;SP;701428
31º;3552205;Sorocaba; São Paulo;SP;695328
32º;3118601;Contagem; Minas Gerais;MG;673849
33º;2800308;Aracaju; Sergipe;SE;672614
34º;2910800;Feira de Santana; Bahia;BA;624107
35º;5103403;Cuiabá; Mato Grosso;MT;623614
36º;4209102;Joinville; Santa Catarina;SC;604708
37º;5201405;Aparecida de Goiânia; Goiás;GO;601844
38º;4113700;Londrina; Paraná;PR;580870
39º;3136702;Juiz de Fora; Minas Gerais;MG;577532
40º;1100205;Porto Velho; Rondônia;RO;548952
41º;1500800;Ananindeua; Pará;PA;540410
42º;3205002;Serra; Espírito Santo;ES;536765
43º;4305108;Caxias do Sul; Rio Grande do Sul;RS;523716
44º;1600303;Macapá; Amapá;AP;522357
45º;3303302;Niterói; Rio de Janeiro;RJ;516981
46º;4205407;Florianópolis; Santa Catarina;SC;516524
47º;3300456;Belford Roxo; Rio de Janeiro;RJ;515239
48º;3301009;Campos dos Goytacazes; Rio de Janeiro;RJ;514643
49º;3205200;Vila Velha; Espírito Santo;ES;508655
50º;3529401;Mauá; São Paulo;SP;481725
51º;3305109;São João de Meriti; Rio de Janeiro;RJ;473385
52º;3549805;São José do Rio Preto; São Paulo;SP;469173
53º;3530607;Mogi das Cruzes; São Paulo;SP;455587
54º;3106705;Betim; Minas Gerais;MG;450024
55º;1400100;Boa Vista; Roraima;RR;436591
56º;4115200;Maringá; Paraná;PR;436472
57º;3548500;Santos; São Paulo;SP;433991
58º;3513801;Diadema; São Paulo;SP;429550
59º;3525904;Jundiaí; São Paulo;SP;426935
60º;1200401;Rio Branco; Acre;AC;419452
61º;3143302;Montes Claros; Minas Gerais;MG;417478
62º;2504009;Campina Grande; Paraíba;PB;413830
63º;3538709;Piracicaba; São Paulo;SP;410275
64º;3510609;Carapicuíba; São Paulo;SP;405375
65º;5201108;Anápolis; Goiás;GO;396526
66º;2609600;Olinda; Pernambuco;PE;393734
67º;3201308;Cariacica; Espírito Santo;ES;386495
68º;3506003;Bauru; São Paulo;SP;381706
69º;3523107;Itaquaquecetuba; São Paulo;SP;379082
70º;3551009;São Vicente; São Paulo;SP;370839
71º;3205309;Vitória; Espírito Santo;ES;369534
72º;2604106;Caruaru; Pernambuco;PE;369343
73º;2303709;Caucaia; Ceará;CE;368918
74º;4202404;Blumenau; Santa Catarina;SC;366418
75º;2611101;Petrolina; Pernambuco;PE;359372
76º;4119905;Ponta Grossa; Paraná;PR;358838
77º;3516200;Franca; São Paulo;SP;358539
78º;4304606;Canoas; Rio Grande do Sul;RS;349728
79º;4314407;Pelotas; Rio Grande do Sul;RS;343826
80º;2933307;Vitória da Conquista; Bahia;BA;343643
81º;3154606;Ribeirão das Neves; Minas Gerais;MG;341415
82º;3170107;Uberaba; Minas Gerais;MG;340277
83º;2610707;Paulista; Pernambuco;PE;336919
84º;3541000;Praia Grande; São Paulo;SP;336454
85º;4104808;Cascavel; Paraná;PR;336073
86º;4125506;São José dos Pinhais; Paraná;PR;334620
87º;3518701;Guarujá; São Paulo;SP;324977
88º;3554102;Taubaté; São Paulo;SP;320820
89º;1721000;Palmas; Tocantins;TO;313349
90º;3526902;Limeira; São Paulo;SP;310783
91º;2905701;Camaçari; Bahia;BA;309208
92º;1506807;Santarém; Pará;PA;308339
93º;3303906;Petrópolis; Rio de Janeiro;RJ;307144
94º;2408003;Mossoró; Rio Grande do Norte;RN;303792
95º;3552502;Suzano; São Paulo;SP;303397
96º;3552809;Taboão da Serra; São Paulo;SP;297528
97º;5108402;Várzea Grande; Mato Grosso;MT;290383
98º;3552403;Sumaré; São Paulo;SP;289875
99º;1504208;Marabá; Pará;PA;287664
100º;4309209;Gravataí; Rio Grande do Sul;RS;285564
101º;4316907;Santa Maria; Rio Grande do Sul;RS;285159
102º;3127701;Governador Valadares; Minas Gerais;MG;282164
103º;3505708;Barueri; São Paulo;SP;279704
104º;3515004;Embu das Artes; São Paulo;SP;279264
105º;2307304;Juazeiro do Norte; Ceará;CE;278264
106º;3306305;Volta Redonda; Rio de Janeiro;RJ;274925
107º;2403251;Parnamirim; Rio Grande do Norte;RN;272490
108º;3131307;Ipatinga; Minas Gerais;MG;267333
109º;3302403;Macaé; Rio de Janeiro;RJ;266136
110º;3520509;Indaiatuba; São Paulo;SP;260690
111º;2105302;Imperatriz; Maranhão;MA;259980
112º;4108304;Foz do Iguaçu; Paraná;PR;257971
113º;3513009;Cotia; São Paulo;SP;257882
114º;4323002;Viamão; Rio Grande do Sul;RS;257330
115º;3548906;São Carlos; São Paulo;SP;256915
116º;4216602;São José; Santa Catarina;SC;253705
117º;4105805;Colombo; Paraná;PR;249277
118º;3302502;Magé; Rio de Janeiro;RJ;247741
119º;4313409;Novo Hamburgo; Rio Grande do Sul;RS;247303
120º;5218805;Rio Verde; Goiás;GO;247259
121º;3301900;Itaboraí; Rio de Janeiro;RJ;244416
122º;3501608;Americana; São Paulo;SP;244370
123º;3522505;Itapevi; São Paulo;SP;244131
124º;3167202;Sete Lagoas; Minas Gerais;MG;243950
125º;3122306;Divinópolis; Minas Gerais;MG;242505
126º;3529005;Marília; São Paulo;SP;242249
127º;3503208;Araraquara; São Paulo;SP;240542
128º;4318705;São Leopoldo; Rio Grande do Sul;RS;240378
129º;5107602;Rondonópolis; Mato Grosso;MT;239613
130º;3519071;Hortolândia; São Paulo;SP;237570
131º;3524402;Jacareí; São Paulo;SP;237119
132º;2700300;Arapiraca; Alagoas;AL;234309
133º;3300704;Cabo Frio; Rio de Janeiro;RJ;234077
134º;3541406;Presidente Prudente; São Paulo;SP;231953
135º;2307650;Maracanaú; Ceará;CE;230986
136º;5003702;Dourados; Mato Grosso do Sul;MS;227990
137º;4204202;Chapecó; Santa Catarina;SC;227587
138º;4208203;Itajaí; Santa Catarina;SC;226617
139º;5200258;Águas Lindas de Goiás; Goiás;GO;222850
140º;3157807;Santa Luzia; Minas Gerais;MG;221705
141º;2918407;Juazeiro; Bahia;BA;219544
142º;4204608;Criciúma; Santa Catarina;SC;219393
143º;1505536;Parauapebas; Pará;PA;218787
144º;5212501;Luziânia; Goiás;GO;214645
145º;2914802;Itabuna; Bahia;BA;214123
146º;4315602;Rio Grande; Rio Grande do Sul;RS;212881
147º;2312908;Sobral; Ceará;CE;212437
148º;4300604;Alvorada; Rio Grande do Sul;RS;212352
149º;3201209;Cachoeiro de Itapemirim; Espírito Santo;ES;212172
150º;2602902;Cabo de Santo Agostinho; Pernambuco;PE;210796
151º;3300100;Angra dos Reis; Rio de Janeiro;RJ;210171
152º;3543907;Rio Claro; São Paulo;SP;209548
153º;4314100;Passo Fundo; Rio Grande do Sul;RS;206103
154º;1502400;Castanhal; Pará;PA;205667
155º;2919207;Lauro de Freitas; Bahia;BA;204669
156º;3502804;Araçatuba; São Paulo;SP;199210
157º;3515707;Ferraz de Vasconcelos; São Paulo;SP;198661
158º;3545803;Santa Bárbara d'Oeste; São Paulo;SP;195278
159º;3303401;Nova Friburgo; Rio de Janeiro;RJ;191664
160º;2804805;Nossa Senhora do Socorro; Sergipe;SE;187733
161º;1702109;Araguaína; Tocantins;TO;186245
162º;3305802;Teresópolis; Rio de Janeiro;RJ;185820
163º;3300407;Barra Mansa; Rio de Janeiro;RJ;185237
164º;4208906;Jaraguá do Sul; Santa Catarina;SC;184579
165º;3129806;Ibirité; Minas Gerais;MG;184030
166º;4109401;Guarapuava; Paraná;PR;183755
167º;2111201;São José de Ribamar; Maranhão;MA;180345
168º;3203205;Linhares; Espírito Santo;ES;179755
169º;3522208;Itapecerica da Serra; São Paulo;SP;179574
170º;3516309;Francisco Morato; São Paulo;SP;179372
171º;4211900;Palhoça; Santa Catarina;SC;178679
172º;3523909;Itu; São Paulo;SP;177150
173º;3302858;Mesquita; Rio de Janeiro;RJ;177016
174º;5221858;Valparaíso de Goiás; Goiás;GO;175720
175º;3507605;Bragança Paulista; São Paulo;SP;172346
176º;3538006;Pindamonhangaba; São Paulo;SP;171885
177º;2112209;Timon; Maranhão;MA;171317
178º;3151800;Poços de Caldas; Minas Gerais;MG;169838
179º;3302700;Maricá; Rio de Janeiro;RJ;167668
180º;3522307;Itapetininga; São Paulo;SP;167106
181º;2103000;Caxias; Maranhão;MA;166159
182º;2931350;Teixeira de Freitas; Bahia;BA;164290
183º;3303203;Nilópolis; Rio de Janeiro;RJ;162893
184º;3548807;São Caetano do Sul; São Paulo;SP;162763
185º;1500107;Abaetetuba; Pará;PA;160439
186º;2603454;Camaragibe; Pernambuco;PE;159945
187º;3304524;Rio das Ostras; Rio de Janeiro;RJ;159529
188º;3516408;Franco da Rocha; São Paulo;SP;158438
189º;2903201;Barreiras; Bahia;BA;158432
190º;2913606;Ilhéus; Bahia;BA;157639
191º;4118204;Paranaguá; Paraná;PR;157378
192º;4209300;Lages; Santa Catarina;SC;157158
193º;2918001;Jequié; Bahia;BA;156277
194º;3148004;Patos de Minas; Minas Gerais;MG;154641
195º;3152501;Pouso Alegre; Minas Gerais;MG;154293
196º;3530706;Mogi Guaçu; São Paulo;SP;154146
197º;2207702;Parnaíba; Piauí;PI;153863
198º;3525300;Jaú; São Paulo;SP;153463
199º;2900702;Alagoinhas; Bahia;BA;153023
200º;2925303;Porto Seguro; Bahia;BA;152529
201º;3304144;Queimados; Rio de Janeiro;RJ;152311
202º;3507506;Botucatu; São Paulo;SP;149718
203º;4202008;Balneário Camboriú; Santa Catarina;SC;149227
204º;5107909;Sinop; Mato Grosso;MT;148960
205º;4101804;Araucária; Paraná;PR;148522
206º;3504107;Atibaia; São Paulo;SP;145378
207º;3547304;Santana de Parnaíba; São Paulo;SP;145073
208º;4127700;Toledo; Paraná;PR;144601
209º;4320008;Sapucaia do Sul; Rio Grande do Sul;RS;142508
210º;2606002;Garanhuns; Pernambuco;PE;141347
211º;3168606;Teófilo Otoni; Minas Gerais;MG;141269
212º;1502103;Cametá; Pará;PA;140814
213º;4202909;Brusque; Santa Catarina;SC;140597
214º;2616407;Vitória de Santo Antão; Pernambuco;PE;140389
215º;3105608;Barbacena; Minas Gerais;MG;139061
216º;2513703;Santa Rita; Paraíba;PB;138093
217º;3156700;Sabará; Minas Gerais;MG;137877
218º;3170701;Varginha; Minas Gerais;MG;137608
219º;4101408;Apucarana; Paraná;PR;137438
220º;2930709;Simões Filho; Bahia;BA;137117
221º;3503307;Araras; São Paulo;SP;136739
222º;3302007;Itaguaí; Rio de Janeiro;RJ;136547
223º;3300209;Araruama; Rio de Janeiro;RJ;136109
224º;1504422;Marituba; Pará;PA;135812
225º;1507300;São Félix do Xingu; Pará;PA;135732
226º;4104204;Campo Largo; Paraná;PR;135678
227º;4119152;Pinhais; Paraná;PR;134788
228º;3204906;São Mateus; Espírito Santo;ES;134629
229º;2304202;Crato; Ceará;CE;133913
230º;3304201;Resende; Rio de Janeiro;RJ;133244
231º;3556206;Valinhos; São Paulo;SP;133169
232º;3513504;Cubatão; São Paulo;SP;132521
233º;4316808;Santa Cruz do Sul; Rio Grande do Sul;RS;132271
234º;4303103;Cachoeirinha; Rio Grande do Sul;RS;132144
235º;5221403;Trindade; Goiás;GO;132006
236º;3171204;Vespasiano; Minas Gerais;MG;131849
237º;2306405;Itapipoca; Ceará;CE;131687
238º;2307700;Maranguape; Ceará;CE;131677
239º;1100122;Ji-Paraná; Rondônia;RO;131026
240º;3118304;Conselheiro Lafaiete; Minas Gerais;MG;130584
241º;1501709;Bragança; Pará;PA;130122
242º;1501303;Barcarena; Pará;PA;129333
243º;3202405;Guarapari; Espírito Santo;ES;128504
244º;3551702;Sertãozinho; São Paulo;SP;128432
245º;3525003;Jandira; São Paulo;SP;127734
246º;4322400;Uruguaiana; Rio Grande do Sul;RS;126766
247º;4101507;Arapongas; Paraná;PR;126545
248º;3506508;Birigui; São Paulo;SP;126094
249º;5208004;Formosa; Goiás;GO;125705
250º;2107506;Paço do Lumiar; Maranhão;MA;125265
251º;3543303;Ribeirão Pires; São Paulo;SP;125238
252º;3510500;Caraguatatuba; São Paulo;SP;125194
253º;5008305;Três Lagoas; Mato Grosso do Sul;MS;125137
254º;1600600;Santana; Amapá;AP;124808
255º;3557006;Votorantim; São Paulo;SP;124468
256º;3201506;Colatina; Espírito Santo;ES;124283
257º;3556503;Várzea Paulista; São Paulo;SP;124269
258º;3523404;Itatiba; São Paulo;SP;124254
259º;3554003;Tatuí; São Paulo;SP;124134
260º;3505500;Barretos; São Paulo;SP;123546
261º;2103307;Codó; Maranhão;MA;123368
262º;3518404;Guaratinguetá; São Paulo;SP;123192
263º;3511102;Catanduva; São Paulo;SP;123114
264º;4302105;Bento Gonçalves; Rio Grande do Sul;RS;123090
265º;3131703;Itabira; Minas Gerais;MG;121717
266º;4301602;Bagé; Rio Grande do Sul;RS;121518
267º;5220454;Senador Canedo; Goiás;GO;121447
268º;4100400;Almirante Tamandaré; Paraná;PR;121420
269º;3545209;Salto; São Paulo;SP;120779
270º;2606804;Igarassu; Pernambuco;PE;119690
271º;5215231;Novo Gama; Goiás;GO;119649
272º;3539806;Poá; São Paulo;SP;119221
273º;2924009;Paulo Afonso; Bahia;BA;119213
274º;3103504;Araguari; Minas Gerais;MG;118361
275º;3169901;Ubá; Minas Gerais;MG;117995
276º;1500602;Altamira; Pará;PA;117320
277º;4119509;Piraquara; Paraná;PR;116852
278º;1508100;Tucuruí; Pará;PA;116605
279º;1303403;Parintins; Amazonas;AM;116439
280º;3147907;Passos; Minas Gerais;MG;115970
281º;1505502;Paragominas; Pará;PA;115838
282º;2910727;Eunápolis; Bahia;BA;115360
283º;3534708;Ourinhos; São Paulo;SP;115139
284º;2613701;São Lourenço da Mata; Pernambuco;PE;114910
285º;3536505;Paulínia; São Paulo;SP;114508
286º;2100055;Açailândia; Maranhão;MA;113783
287º;4128104;Umuarama; Paraná;PR;113416
288º;5205109;Catalão; Goiás;GO;113091
289º;5003207;Corumbá; Mato Grosso do Sul;MS;112669
290º;2612505;Santa Cruz do Capibaribe; Pernambuco;PE;111812
291º;1507953;Tailândia; Pará;PA;111554
292º;1100023;Ariquemes; Rondônia;RO;111148
293º;3119401;Coronel Fabriciano; Minas Gerais;MG;110709
294º;3143906;Muriaé; Minas Gerais;MG;109997
295º;2510808;Patos; Paraíba;PB;108766
296º;3104007;Araxá; Minas Gerais;MG;108403
297º;3145208;Nova Serrana; Minas Gerais;MG;108241
298º;4103701;Cambé; Paraná;PR;108126
299º;5107958;Tangará da Serra; Mato Grosso;MT;107631
300º;3305208;São Pedro da Aldeia; Rio de Janeiro;RJ;107556
301º;4307005;Erechim; Rio Grande do Sul;RS;107368
302º;4218707;Tubarão; Santa Catarina;SC;107143
303º;5211503;Itumbiara; Goiás;GO;106845
304º;3302270;Japeri; Rio de Janeiro;RJ;106296
305º;2803500;Lagarto; Sergipe;SE;106015
306º;3134202;Ituiutaba; Minas Gerais;MG;105818
307º;3504008;Assis; São Paulo;SP;105768
308º;3138203;Lavras; Minas Gerais;MG;105756
309º;3526704;Leme; São Paulo;SP;105273
310º;2101202;Bacabal; Maranhão;MA;105094
311º;3200607;Aracruz; Espírito Santo;ES;104942
312º;2412005;São Gonçalo do Amarante; Rio Grande do Norte;RN;104919
313º;1100304;Vilhena; Rondônia;RO;104517
314º;3302205;Itaperuna; Rio de Janeiro;RJ;104354
315º;3522109;Itanhaém; São Paulo;SP;104351
316º;1501808;Breves; Pará;PA;104280
317º;1301902;Itacoatiara; Amazonas;AM;104046
318º;3509007;Caieiras; São Paulo;SP;104044
319º;4107652;Fazenda Rio Grande; Paraná;PR;103750
320º;3528502;Mairiporã; São Paulo;SP;103645
321º;2305506;Iguatu; Ceará;CE;103633
322º;5211909;Jataí; Goiás;GO;103221
323º;2928703;Santo Antônio de Jesus; Bahia;BA;103204
324º;1503606;Itaituba; Pará;PA;101541
325º;3300308;Barra do Piraí; Rio de Janeiro;RJ;101139
326º;2600054;Abreu e Lima; Pernambuco;PE;100698
327º;1302504;Manacapuru; Amazonas;AM;99613
328º;2607208;Ipojuca; Pernambuco;PE;99101
329º;4126256;Sarandi; Paraná;PR;98888
330º;4309308;Guaíba; Rio Grande do Sul;RS;98331
331º;2932903;Valença; Bahia;BA;97873
332º;3132404;Itajubá; Minas Gerais;MG;97782
333º;2501807;Bayeux; Paraíba;PB;97519
334º;3144805;Nova Lima; Minas Gerais;MG;97378
335º;2101400;Balsas; Maranhão;MA;96951
336º;2802908;Itabaiana; Sergipe;SE;96839
337º;3557105;Votuporanga; São Paulo;SP;96106
338º;4104303;Campo Mourão; Paraná;PR;96102
339º;3508504;Caçapava; São Paulo;SP;95752
340º;3147105;Pará de Minas; Minas Gerais;MG;95616
341º;5102504;Cáceres; Mato Grosso;MT;95339
342º;5006606;Ponta Porã; Mato Grosso do Sul;MS;95320
343º;3522406;Itapeva; São Paulo;SP;95241
344º;5204508;Caldas Novas; Goiás;GO;95183
345º;5107925;Sorriso; Mato Grosso;MT;94941
346º;3147006;Paracatu; Minas Gerais;MG;94539
347º;3133808;Itaúna; Minas Gerais;MG;94455
348º;3530805;Mogi Mirim; São Paulo;SP;94098
349º;4108403;Francisco Beltrão; Paraná;PR;93308
350º;3113404;Caratinga; Minas Gerais;MG;93124
351º;3550605;São Roque; São Paulo;SP;93076
352º;3555406;Ubatuba; São Paulo;SP;92819
353º;2919553;Luís Eduardo Magalhães; Bahia;BA;92671
354º;3503901;Arujá; São Paulo;SP;92453
355º;3549102;São João da Boa Vista; São Paulo;SP;92315
356º;3148103;Patrocínio; Minas Gerais;MG;92116
357º;2806701;São Cristóvão; Sergipe;SE;92090
358º;3139409;Manhuaçu; Minas Gerais;MG;92074
359º;3305505;Saquarema; Rio de Janeiro;RJ;91938
360º;3504503;Avaré; São Paulo;SP;91792
361º;3550704;São Sebastião; São Paulo;SP;91637
362º;5217609;Planaltina; Goiás;GO;91345
363º;3168705;Timóteo; Minas Gerais;MG;91268
364º;3162500;São João del-Rei; Minas Gerais;MG;90897
365º;2109908;Santa Inês; Maranhão;MA;89927
366º;1200203;Cruzeiro do Sul; Acre;AC;89760
367º;3527207;Lorena; São Paulo;SP;89532
368º;4118402;Paranavaí; Paraná;PR;89454
369º;2311306;Quixadá; Ceará;CE;88899
370º;2101608;Barra do Corda; Maranhão;MA;88895
371º;1709500;Gurupi; Tocantins;TO;88428
372º;2906501;Candeias; Bahia;BA;87820
373º;2613909;Serra Talhada; Pernambuco;PE;87467
374º;4203204;Camboriú; Santa Catarina;SC;87179
375º;1301209;Coari; Amazonas;AM;86713
376º;1100049;Cacoal; Rondônia;RO;86416
377º;3509601;Campo Limpo Paulista; São Paulo;SP;86407
378º;1506138;Redenção; Pará;PA;86326
379º;4215802;São Bento do Sul; Santa Catarina;SC;86317
380º;4311403;Lajeado; Rio Grande do Sul;RS;86005
381º;4211306;Navegantes; Santa Catarina;SC;85734
382º;2309706;Pacatuba; Ceará;CE;85647
383º;3170404;Unaí; Minas Gerais;MG;85461
384º;2911709;Guanambi; Bahia;BA;85353
385º;2606408;Gravatá; Pernambuco;PE;85309
386º;2601102;Araripina; Pernambuco;PE;85301
387º;2604007;Carpina; Pernambuco;PE;85131
388º;4105508;Cianorte; Paraná;PR;84980
389º;4118501;Pato Branco; Paraná;PR;84779
390º;1504703;Moju; Pará;PA;84251
391º;2108603;Pinheiro; Maranhão;MA;84160
392º;3529302;Matão; São Paulo;SP;84069
393º;4310207;Ijuí; Rio Grande do Sul;RS;84041
394º;3305554;Seropédica; Rio de Janeiro;RJ;83841
395º;2910057;Dias d'Ávila; Bahia;BA;83705
396º;4307708;Esteio; Rio Grande do Sul;RS;83352
397º;3513405;Cruzeiro; São Paulo;SP;82895
398º;2407104;Macaíba; Rio Grande do Norte;RN;82828
399º;3306008;Três Rios; Rio de Janeiro;RJ;82468
400º;2311405;Quixeramobim; Ceará;CE;82455
401º;2930501;Serrinha; Bahia;BA;81693
402º;2301000;Aquiraz; Ceará;CE;81581
403º;4303004;Cachoeira do Sul; Rio Grande do Sul;RS;81552
404º;3556701;Vinhedo; São Paulo;SP;81516
405º;3120904;Curvelo; Minas Gerais;MG;81085
406º;3101607;Alfenas; Minas Gerais;MG;80973
407º;3136207;João Monlevade; Minas Gerais;MG;80903
408º;2917508;Jacobina; Bahia;BA;80749
409º;3205101;Viana; Espírito Santo;ES;80735
410º;2103208;Chapadinha; Maranhão;MA;80705
411º;4127106;Telêmaco Borba; Paraná;PR;80588
412º;3169307;Três Corações; Minas Gerais;MG;80561
413º;4319901;Sapiranga; Rio Grande do Sul;RS;80514
414º;2606200;Goiana; Pernambuco;PE;80345
415º;3519709;Ibiúna; São Paulo;SP;80062
416º;4203006;Caçador; Santa Catarina;SC;80017
417º;3171303;Viçosa; Minas Gerais;MG;79910
418º;2930105;Senhor do Bonfim; Bahia;BA;79813
419º;2311801;Russas; Ceará;CE;79550
420º;3509205;Cajamar; São Paulo;SP;79034
421º;3527108;Lins; São Paulo;SP;78978
422º;2208007;Picos; Piauí;PI;78627
423º;1505064;Novo Repartimento; Pará;PA;78488
424º;3524303;Jaboticabal; São Paulo;SP;78029
425º;3506102;Bebedouro; São Paulo;SP;77612
426º;4317509;Santo Ângelo; Rio Grande do Sul;RS;77544
427º;2302800;Canindé; Ceará;CE;77484
428º;2916401;Itapetinga; Bahia;BA;77408
429º;3539301;Pirassununga; São Paulo;SP;77330
430º;3306107;Valença; Rio de Janeiro;RJ;77202
431º;2313401;Tianguá; Ceará;CE;77111
432º;2601706;Belo Jardim; Pernambuco;PE;76930
433º;5219753;Santo Antônio do Descoberto; Goiás;GO;76871
434º;1506708;Santana do Araguaia; Pará;PA;75995
435º;3115300;Cataguases; Minas Gerais;MG;75942
436º;3522604;Itapira; São Paulo;SP;75683
437º;4204301;Concórdia; Santa Catarina;SC;75683
438º;2707701;Rio Largo; Alagoas;AL;75662
439º;4317103;Santana do Livramento; Rio Grande do Sul;RS;75647
440º;2301109;Aracati; Ceará;CE;75392
441º;2601201;Arcoverde; Pernambuco;PE;75295
442º;2304103;Crateús; Ceará;CE;75241
443º;1505304;Oriximiná; Pará;PA;74921
444º;3146107;Ouro Preto; Minas Gerais;MG;74824
445º;3512803;Cosmópolis; São Paulo;SP;74662
446º;5205497;Cidade Ocidental; Goiás;GO;74370
447º;2402600;Ceará-Mirim; Rio Grande do Norte;RN;74268
448º;2309607;Pacajus; Ceará;CE;74145
449º;2914604;Irecê; Bahia;BA;74050
450º;4317202;Santa Rosa; Rio Grande do Sul;RS;73882
451º;4307906;Farroupilha; Rio Grande do Sul;RS;73758
452º;2102325;Buriticupu; Maranhão;MA;73595
453º;2706307;Palmeira dos Índios; Alagoas;AL;73452
454º;3501905;Amparo; São Paulo;SP;73145
455º;2110005;Santa Luzia; Maranhão;MA;73105
456º;2907202;Casa Nova; Bahia;BA;73092
457º;4214805;Rio do Sul; Santa Catarina;SC;72931
458º;1506500;Santa Izabel do Pará; Pará;PA;72856
459º;2303501;Cascavel; Ceará;CE;72706
460º;3124104;Esmeraldas; Minas Gerais;MG;72512
461º;4300406;Alegrete; Rio Grande do Sul;RS;72493
462º;3135100;Janaúba; Minas Gerais;MG;72374
463º;4322608;Venâncio Aires; Rio Grande do Sul;RS;72373
464º;4207502;Indaial; Santa Catarina;SC;72346
465º;4104907;Castro; Paraná;PR;72125
466º;5208608;Goianésia; Goiás;GO;72045
467º;4205902;Gaspar; Santa Catarina;SC;71925
468º;3164704;São Sebastião do Paraíso; Minas Gerais;MG;71915
469º;2906006;Campo Formoso; Bahia;BA;71754
470º;2104800;Grajaú; Maranhão;MA;70692
471º;4202305;Biguaçu; Santa Catarina;SC;70471
472º;2609907;Ouricuri; Pernambuco;PE;70466
473º;3515103;Embu-Guaçu; São Paulo;SP;70402
474º;2903904;Bom Jesus da Lapa; Bahia;BA;70151
475º;2516201;Sousa; Paraíba;PB;69997
476º;4303905;Campo Bom; Rio Grande do Sul;RS;69981
477º;2802106;Estância; Sergipe;SE;69919
478º;1502202;Capanema; Pará;PA;69828
479º;2503209;Cabedelo; Paraíba;PB;69773
480º;2605202;Escada; Pernambuco;PE;69701
481º;3537602;Peruíbe; São Paulo;SP;69697
482º;2305233;Horizonte; Ceará;CE;69688
483º;3515509;Fernandópolis; São Paulo;SP;69680
484º;5105259;Lucas do Rio Verde; Mato Grosso;MT;69671
485º;3526803;Lençóis Paulista; São Paulo;SP;69533
486º;4201406;Araranguá; Santa Catarina;SC;69493
487º;5213103;Mineiros; Goiás;GO;69477
488º;4208302;Itapema; Santa Catarina;SC;69323
489º;2105401;Itapecuru-Mirim; Maranhão;MA;69233
490º;3530508;Mococa; São Paulo;SP;69072
491º;2402006;Caicó; Rio Grande do Norte;RN;68726
492º;1501782;Breu Branco; Pará;PA;68597
493º;1304062;Tabatinga; Amazonas;AM;68502
494º;2305407;Icó; Ceará;CE;68303
495º;4122404;Rolândia; Paraná;PR;68165
496º;2610905;Pesqueira; Pernambuco;PE;68067
497º;3135209;Januária; Minas Gerais;MG;67958
498º;3126109;Formiga; Minas Gerais;MG;67956
499º;2904605;Brumado; Bahia;BA;67468
500º;2908408;Conceição do Coité; Bahia;BA;67394
501º;1503457;Ipixuna do Pará; Pará;PA;67170
502º;4322509;Vacaria; Rio Grande do Sul;RS;66916
503º;3137601;Lagoa Santa; Minas Gerais;MG;66744
504º;4303509;Camaquã; Rio Grande do Sul;RS;66686
505º;2614501;Surubim; Pernambuco;PE;66192
506º;1302900;Maués; Amazonas;AM;66159
507º;4312401;Montenegro; Rio Grande do Sul;RS;66157
508º;3506359;Bertioga; São Paulo;SP;66154
509º;2709301;União dos Palmares; Alagoas;AL;65963
510º;2103604;Coroatá; Maranhão;MA;65788
511º;3555000;Tupã; São Paulo;SP;65615
512º;3149309;Pedro Leopoldo; Minas Gerais;MG;65149
513º;2914703;Itaberaba; Bahia;BA;64795
514º;1501501;Benevides; Pará;PA;64780
515º;1508001;Tomé-Açu; Pará;PA;64604
516º;2915601;Itamaraju; Bahia;BA;64423
517º;3524006;Itupeva; São Paulo;SP;64330
518º;2302602;Camocim; Ceará;CE;64147
519º;3537305;Penápolis; São Paulo;SP;64098
